ligand,affinity
ZINC000002016258,-5.4
ZINC000002539827,-5.4
ZINC000003629271,-5.4
ZINC000003806063,-5.4
ZINC000003830993,-5.4
ZINC000003843198,-5.4
ZINC000003876068,-5.4
ZINC000003981610,-5.4
ZINC000003991624,-5.4
ZINC000004216238,-5.4
ZINC000004340269,-5.4
ZINC000004468780,-5.4
ZINC000004632106,-5.4
ZINC000005179119,-5.4
ZINC000008855117,-5.4
ZINC000012360535,-5.4
ZINC000013912394,-5.4
ZINC000021303210,-5.4
ZINC000028467879,-5.4
ZINC000043450326,-5.4
ZINC000051951647,-5.4
ZINC000085205448,-5.4
ZINC000100037020,-5.4
ZINC000242437512,-5.4
ZINC000000000242,-5.3
ZINC000000000271,-5.3
ZINC000000002273,-5.3
ZINC000000004413,-5.3
ZINC000000005895,-5.3
ZINC000000006016,-5.3
ZINC000000013156,-5.3
ZINC000000020237,-5.3
ZINC000000039089,-5.3
ZINC000000057206,-5.3
ZINC000000057464,-5.3
ZINC000000113398,-5.3
ZINC000000113415,-5.3
ZINC000000119344,-5.3
ZINC000000137884,-5.3
ZINC000000403079,-5.3
ZINC000000601281,-5.3
ZINC000000621893,-5.3
ZINC000000895199,-5.3
ZINC000000896523,-5.3
ZINC000000896731,-5.3
ZINC000000897385,-5.3
ZINC000001530636,-5.3
ZINC000001530641,-5.3
ZINC000001530703,-5.3
ZINC000001530706,-5.3
ZINC000001530803,-5.3
ZINC000001530929,-5.3
ZINC000001543873,-5.3
ZINC000001552908,-5.3
ZINC000001633889,-5.3
ZINC000002169830,-5.3
ZINC000003806413,-5.3
ZINC000003812867,-5.3
ZINC000003871923,-5.3
ZINC000003872055,-5.3
ZINC000003873371,-5.3
ZINC000004097225,-5.3
ZINC000004228258,-5.3
ZINC000006627681,-5.3
ZINC000007997952,-5.3
ZINC000008220878,-5.3
ZINC000009224016,-5.3
ZINC000019168887,-5.3
ZINC000019594594,-5.3
ZINC000030691763,-5.3
ZINC000034781704,-5.3
ZINC000100004345,-5.3
ZINC000000000257,-5.2
ZINC000000000507,-5.2
ZINC000000000693,-5.2
ZINC000000001267,-5.2
ZINC000000001735,-5.2
ZINC000000001899,-5.2
ZINC000000002281,-5.2
ZINC000000004321,-5.2
ZINC000000006481,-5.2
ZINC000000007673,-5.2
ZINC000000020783,-5.2
ZINC000000057513,-5.2
ZINC000000057624,-5.2
ZINC000000113382,-5.2
ZINC000000155531,-5.2
ZINC000000156395,-5.2
ZINC000000266964,-5.2
ZINC000000538386,-5.2
ZINC000000896484,-5.2
ZINC000000967597,-5.2
ZINC000001035331,-5.2
ZINC000001530568,-5.2
ZINC000001530751,-5.2
ZINC000001530817,-5.2
ZINC000001530973,-5.2
ZINC000001690604,-5.2
ZINC000002519740,-5.2
ZINC000003795098,-5.2
ZINC000003798064,-5.2
ZINC000003830453,-5.2
